uid,block,policy,retained,lag_ms,envelope_sum,n
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,-100,9.682274164241502,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,-80,9.95586014009171,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,-60,10.02547020133618,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,-40,9.944426664170232,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,-20,9.58693123526356,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,0,8.98815918761646,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,20,8.277873135425093,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,40,7.577147410411263,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,60,7.009763402774813,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,80,6.463027177025352,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,0,100,5.766545651872084,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,-100,8.130944236094345,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,-80,8.166130313047544,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,-60,8.224932883270831,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,-40,8.107595734269461,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,-20,8.060285847866313,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,0,8.15766733283641,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,20,8.21534702019443,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,40,8.014121579745428,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,60,7.546961275947274,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,80,7.08338353128825,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,1,100,6.805711674193642,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,-100,3.7621354404130405,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,-80,4.245788065459256,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,-60,4.421891969853459,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,-40,4.42311135884578,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,-20,4.1228340961633965,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,0,3.564888099591912,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,20,3.054997068964016,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,40,2.717672869945814,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,60,2.5013260999717457,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,80,2.3074856705540934,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,0,100,2.0396655376379864,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,-100,14.05108295992281,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,-80,13.876202387679998,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,-60,13.828511114753553,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,-40,13.628911039593913,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,-20,13.524382986966474,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,0,13.580938420860962,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,20,13.438223086655508,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,40,12.873596120210877,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,60,12.055398578750342,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,80,11.238925037759508,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,1,100,10.532591788427743,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,-100,15.63396766391471,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,-80,16.279070618701166,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,-60,16.5665372380076,21
