block,style,default_uid,style_uid,word_index,word,phone_index,phone,default_start,default_end,style_start,style_end,default_duration,style_duration,log_duration_ratio,phone_class,default_relative_db,default_f0,default_asr_3408,default_internal_asr_3408,default_emotion_3408,default_internal_emotion_3408,default_intent_3408_last,default_internal_intent_3408_last,default_speaker_count_3408_last,default_internal_speaker_count_3408_last,default_emotion_3407,default_internal_emotion_3407,default_emotion_3409,default_internal_emotion_3409,style_relative_db,style_f0,style_asr_3408,style_internal_asr_3408,style_emotion_3408,style_internal_emotion_3408,style_intent_3408_last,style_internal_intent_3408_last,style_speaker_count_3408_last,style_internal_speaker_count_3408_last,style_emotion_3407,style_internal_emotion_3407,style_emotion_3409,style_internal_emotion_3409
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,0,and,0,AE1,0.15,0.34,0.14,0.32,0.19000000000000003,0.18,-0.05406722127027594,vowel,0.30630239104544205,132.14181439446358,3,2,2,1,2,1,0,0,0,0,0,0,-0.6504909218941825,145.17116668212452,3,2,1,1,2,1,0,0,0,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,0,and,1,N,0.34,0.4,0.32,0.35,0.06,0.02999999999999997,-0.6931471805599462,sonorant,0.844834654171106,132.0168102212399,1,0,0,0,0,0,0,0,0,0,0,0,-1.8453823804636538,136.95213023305251,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,0,and,2,D,0.4,0.59,0.35,0.51,0.18999999999999995,0.16000000000000003,-0.17185025692665876,stop/affricate,-10.272295878302673,115.67851165752683,0,0,0,0,0,0,0,0,0,0,0,0,-9.880610161898147,122.64118512448127,0,0,0,0,0,0,0,0,1,1,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,1,deprive,0,D,0.59,0.63,0.51,0.55,0.040000000000000036,0.040000000000000036,0.0,stop/affricate,-10.457995033388706,106.65737711635144,1,0,1,0,1,0,0,0,1,0,1,0,-15.258258137249435,109.25402854829659,1,0,1,0,0,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,1,deprive,1,IH0,0.63,0.69,0.55,0.62,0.05999999999999994,0.06999999999999995,0.15415067982725855,vowel,1.7233946517019199,128.83896568073993,1,1,0,0,0,0,0,0,0,0,0,0,3.924047715023822,144.88011941587936,1,1,0,0,1,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,1,deprive,2,P,0.69,0.85,0.62,0.81,0.16000000000000003,0.19000000000000006,0.17185025692665942,stop/affricate,-21.38212252473272,105.43633307310336,1,0,1,1,0,0,0,0,0,0,0,0,-22.454663375061862,119.79120489791023,1,0,1,1,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,1,deprive,3,R,0.85,0.91,0.81,0.88,0.06000000000000005,0.06999999999999995,0.15415067982725666,sonorant,-0.9046017666759525,131.95859384326246,1,1,1,1,1,1,1,0,1,1,1,1,-1.0829788044660582,241.03330948650637,1,1,1,1,1,1,1,0,1,1,1,1
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,1,deprive,4,AY1,0.91,1.08,0.88,1.05,0.17000000000000004,0.17000000000000004,0.0,vowel,1.9492092573505582,141.69848967416297,2,1,0,0,0,0,0,0,0,0,0,0,3.021414690906007,142.75533636033973,2,2,0,0,1,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,1,deprive,5,V,1.08,1.15,1.05,1.13,0.06999999999999984,0.07999999999999985,0.13353139262452296,fricative,-6.610562552118511,152.2652595481812,1,0,1,0,2,0,0,0,1,0,1,0,-7.538060640983513,149.19850970784614,1,0,1,0,1,1,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,2,myself,0,M,1.15,1.24,1.13,1.21,0.09000000000000008,0.08000000000000007,-0.11778303565638351,sonorant,-2.44910891420292,150.8929601274899,1,0,1,0,0,0,0,0,1,0,1,0,-4.55018918883068,155.66214221614018,1,0,1,0,1,0,1,0,1,0,1,0
