block,style,policy,default_uid,style_uid,offset_ms,tol_ms,f1,hits,twice_hits,den,default_cuts,style_cuts,default_total,style_total,phone_null_f1,grid_f1,word_warp_f1,duration_warp_f1,strict_phone_sequence
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,asr_3408,ex01_default_00279,ex01_happy_00279,0.0,20.0,0.9333333333333333,42,84,90,45,45,45,45,0.5494444444444444,0.49110501567398124,0.6666666666666666,0.4888888888888889,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,asr_3408,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.9555555555555556,43,86,90,45,45,45,45,,,0.9111111111111111,0.6222222222222222,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,asr_3408,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.9111111111111111,41,82,90,45,45,45,45,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,asr_3408,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.9555555555555556,43,86,90,45,45,45,45,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3408,ex01_default_00279,ex01_happy_00279,0.0,20.0,0.7755102040816326,19,38,49,23,26,23,26,0.4112244897959183,0.27249149659863947,0.5306122448979592,0.2857142857142857,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3408,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.8163265306122449,20,40,49,23,26,23,26,,,0.7755102040816326,0.5714285714285714,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3408,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.7755102040816326,19,38,49,23,26,23,26,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3408,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.8163265306122449,20,40,49,23,26,23,26,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,intent_3408_last,ex01_default_00279,ex01_happy_00279,0.0,20.0,0.9333333333333333,28,56,60,29,31,29,31,0.4541666666666667,0.29436002337814143,0.6,0.3,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,intent_3408_last,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.9333333333333333,28,56,60,29,31,29,31,,,0.8333333333333334,0.5666666666666667,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,intent_3408_last,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.9,27,54,60,29,31,29,31,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,intent_3408_last,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.9333333333333333,28,56,60,29,31,29,31,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,speaker_count_3408_last,ex01_default_00279,ex01_happy_00279,0.0,20.0,0.9473684210526315,9,18,19,9,10,9,10,0.42631578947368415,0.1266081871345029,0.42105263157894735,0.10526315789473684,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,speaker_count_3408_last,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.9473684210526315,9,18,19,9,10,9,10,,,0.9473684210526315,0.42105263157894735,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,speaker_count_3408_last,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.9473684210526315,9,18,19,9,10,9,10,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,speaker_count_3408_last,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.9473684210526315,9,18,19,9,10,9,10,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3407,ex01_default_00279,ex01_happy_00279,0.0,20.0,0.7659574468085106,18,36,47,21,26,21,26,0.4404255319148936,0.32599444958371876,0.46808510638297873,0.3404255319148936,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3407,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.851063829787234,20,40,47,21,26,21,26,,,0.6808510638297872,0.5531914893617021,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3407,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.8085106382978723,19,38,47,21,26,21,26,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3407,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.851063829787234,20,40,47,21,26,21,26,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,0.0,20.0,0.782608695652174,18,36,46,22,24,22,24,0.44673913043478264,0.2481642512077295,0.5652173913043478,0.21739130434782608,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.8695652173913043,20,40,46,22,24,22,24,,,0.782608695652174,0.5652173913043478,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.8260869565217391,19,38,46,22,24,22,24,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.8695652173913043,20,40,46,22,24,22,24,,,,,True
