uid,block,style,policy,cuts,hz
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,asr_3408,28,7.635095109589943
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,emotion_3408,15,4.212466267359969
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,intent_3408_last,23,6.318699401039953
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,speaker_count_3408_last,9,2.6327914170999804
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,emotion_3407,17,4.739024550779964
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,emotion_3409,13,3.6859079839399724
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,intent_3408,28,7.635095109589943
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,speaker_count_3408,26,7.108536826169947
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,asr_3408,33,9.732708340787921
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,emotion_3408,18,5.438866425734426
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,intent_3408_last,26,7.7289154470962895
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,speaker_count_3408_last,11,3.435073532042795
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,emotion_3407,20,6.011378681074892
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,emotion_3409,16,4.866354170393961
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,intent_3408,33,9.732708340787921
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,speaker_count_3408,31,9.160196085447454
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,asr_3408,20,7.1742750992868425
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,emotion_3408,13,4.782850066191228
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,intent_3408_last,15,5.466114361361404
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,speaker_count_3408_last,8,3.0746893282657894
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,emotion_3407,14,5.124482213776316
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,emotion_3409,13,4.782850066191228
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,intent_3408,20,7.1742750992868425
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,speaker_count_3408,20,7.1742750992868425
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,asr_3408,27,12.468342100136374
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,emotion_3408,10,4.898277253625004
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,intent_3408_last,18,8.460660710806826
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,speaker_count_3408_last,7,3.562383457181821
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,emotion_3407,13,6.234171050068187
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,emotion_3409,11,5.343575185772732
